id_cliente,idade,faixa_etaria,escolaridade,genero,estado_civil
1,43,36-45,Pós-Graduação,Masculino,Casado
2,36,36-45,Pós-Graduação,Masculino,Casado
3,45,36-45,Graduação,Feminino,Solteiro
4,56,56+,Graduação,Masculino,Casado
5,35,26-35,Graduação,Masculino,Casado
6,35,26-35,Graduação,Masculino,Solteiro
7,56,56+,Ensino Médio,Masculino,Solteiro
8,47,46-55,Ensino Médio,Feminino,Solteiro
9,32,26-35,Graduação,Masculino,Casado
10,44,36-45,Pós-Graduação,Feminino,Solteiro
11,32,26-35,Graduação,Feminino,Casado
12,32,26-35,Outros,Masculino,Casado
13,40,36-45,Graduação,Masculino,Solteiro
14,18,18-25,Ensino Médio,Feminino,Casado
15,18,18-25,Pós-Graduação,Masculino,Casado
16,31,26-35,Graduação,Masculino,Solteiro
17,25,18-25,Pós-Graduação,Masculino,Casado
18,41,36-45,Graduação,Feminino,Outros
19,27,26-35,Outros,Feminino,Solteiro
20,21,18-25,Outros,Masculino,Outros
21,55,46-55,Graduação,Masculino,Casado
22,35,26-35,Graduação,Feminino,Solteiro
23,38,36-45,Outros,Feminino,Casado
24,20,18-25,Ensino Médio,Feminino,Solteiro
25,31,26-35,Pós-Graduação,Feminino,Casado
26,39,36-45,Graduação,Masculino,Casado
27,24,18-25,Graduação,Feminino,Solteiro
28,42,36-45,Graduação,Masculino,Casado
29,30,26-35,Graduação,Masculino,Casado
30,34,26-35,Graduação,Feminino,Casado
31,30,26-35,Graduação,Masculino,Solteiro
32,60,56+,Pós-Graduação,Feminino,Casado
33,37,36-45,Graduação,Masculino,Casado
34,25,18-25,Ensino Médio,Feminino,Casado
35,47,46-55,Ensino Médio,Feminino,Solteiro
36,23,18-25,Graduação,Masculino,Solteiro
37,40,36-45,Outros,Feminino,Casado
38,18,18-25,Outros,Masculino,Casado
39,22,18-25,Graduação,Feminino,Casado
40,40,36-45,Pós-Graduação,Masculino,Casado
41,46,46-55,Ensino Médio,Feminino,Casado
42,40,36-45,Ensino Médio,Masculino,Solteiro
43,36,36-45,Outros,Masculino,Solteiro
44,34,26-35,Ensino Médio,Masculino,Outros
45,20,18-25,Graduação,Masculino,Casado
46,29,26-35,Graduação,Feminino,Solteiro
47,32,26-35,Pós-Graduação,Feminino,Solteiro
48,50,46-55,Graduação,Feminino,Solteiro
49,42,36-45,Graduação,Masculino,Outros
50,18,18-25,Graduação,Masculino,Casado
51,41,36-45,Graduação,Masculino,Casado
52,33,26-35,Ensino Médio,Feminino,Solteiro
53,29,26-35,Graduação,Feminino,Casado
54,45,36-45,Graduação,Masculino,Casado
55,50,46-55,Pós-Graduação,Masculino,Casado
56,49,46-55,Graduação,Masculino,Casado
57,27,26-35,Ensino Médio,Feminino,Solteiro
58,34,26-35,Ensino Médio,Feminino,Casado
59,41,36-45,Outros,Feminino,Casado
60,49,46-55,Graduação,Masculino,Solteiro
61,32,26-35,Graduação,Feminino,Solteiro
62,35,26-35,Graduação,Feminino,Outros
63,24,18-25,Graduação,Masculino,Casado
64,23,18-25,Ensino Médio,Feminino,Outros
65,47,46-55,Ensino Médio,Masculino,Solteiro
66,54,46-55,Ensino Médio,Masculino,Solteiro
67,37,36-45,Graduação,Feminino,Casado
68,50,46-55,Ensino Médio,Masculino,Solteiro
69,42,36-45,Pós-Graduação,Feminino,Outros
70,30,26-35,Ensino Médio,Feminino,Outros
71,42,36-45,Graduação,Masculino,Casado
72,56,56+,Graduação,Feminino,Casado
73,37,36-45,Graduação,Masculino,Solteiro
74,56,56+,Outros,Masculino,Outros
75,18,18-25,Pós-Graduação,Masculino,Casado
76,47,46-55,Graduação,Masculino,Solteiro
77,39,36-45,Ensino Médio,Masculino,Solteiro
78,34,26-35,Graduação,Masculino,Solteiro
79,39,36-45,Pós-Graduação,Masculino,Solteiro
80,18,18-25,Graduação,Masculino,Casado
81,35,26-35,Graduação,Feminino,Outros
82,42,36-45,Outros,Masculino,Solteiro
83,55,46-55,Ensino Médio,Feminino,Solteiro
84,31,26-35,Graduação,Feminino,Casado
85,28,26-35,Outros,Feminino,Solteiro
86,31,26-35,Graduação,Masculino,Casado
87,48,46-55,Pós-Graduação,Feminino,Casado
88,41,36-45,Graduação,Feminino,Solteiro
89,31,26-35,Graduação,Feminino,Solteiro
90,44,36-45,Pós-Graduação,Masculino,Solteiro
91,39,36-45,Outros,Masculino,Casado
92,49,46-55,Ensino Médio,Feminino,Solteiro
93,29,26-35,Graduação,Masculino,Casado
94,34,26-35,Graduação,Masculino,Solteiro
95,33,26-35,Ensino Médio,Masculino,Casado
96,20,18-25,Outros,Feminino,Solteiro
97,41,36-45,Ensino Médio,Feminino,Solteiro
98,41,36-45,Graduação,Masculino,Casado
99,38,36-45,Ensino Médio,Feminino,Casado
100,35,26-35,Graduação,Masculino,Solteiro
101,21,18-25,Graduação,Masculino,Solteiro
102,32,26-35,Pós-Graduação,Feminino,Solteiro
103,33,26-35,Pós-Graduação,Feminino,Solteiro
104,28,26-35,Graduação,Feminino,Casado
105,36,36-45,Graduação,Masculino,Casado
106,42,36-45,Pós-Graduação,Feminino,Casado
107,60,56+,Ensino Médio,Masculino,Casado
108,40,36-45,Pós-Graduação,Masculino,Solteiro
109,41,36-45,Graduação,Masculino,Casado
110,37,36-45,Graduação,Feminino,Outros
111,18,18-25,Outros,Feminino,Solteiro
112,37,36-45,Graduação,Masculino,Solteiro
113,38,36-45,Pós-Graduação,Masculino,Outros
114,67,56+,Graduação,Feminino,Casado
115,35,26-35,Ensino Médio,Masculino,Solteiro
116,41,36-45,Outros,Feminino,Casado
117,37,36-45,Graduação,Masculino,Casado
118,23,18-25,Graduação,Masculino,Solteiro
119,51,46-55,Outros,Feminino,Casado
120,47,46-55,Pós-Graduação,Masculino,Outros
121,47,46-55,Graduação,Masculino,Solteiro
122,27,26-35,Graduação,Masculino,Solteiro
123,54,46-55,Pós-Graduação,Feminino,Casado
124,21,18-25,Graduação,Feminino,Solteiro
125,45,36-45,Graduação,Masculino,Casado
126,64,56+,Ensino Médio,Masculino,Solteiro
127,26,26-35,Outros,Feminino,Casado
128,31,26-35,Graduação,Masculino,Solteiro
129,39,36-45,Ensino Médio,Feminino,Casado
130,31,26-35,Pós-Graduação,Masculino,Casado
131,19,18-25,Graduação,Masculino,Solteiro
132,38,36-45,Pós-Graduação,Feminino,Casado
133,25,18-25,Outros,Masculino,Solteiro
134,43,36-45,Ensino Médio,Feminino,Casado
135,26,26-35,Ensino Médio,Masculino,Casado
136,56,56+,Ensino Médio,Masculino,Solteiro
137,28,26-35,Graduação,Feminino,Casado
138,34,26-35,Outros,Masculino,Casado
139,47,46-55,Ensino Médio,Feminino,Solteiro
140,23,18-25,Outros,Masculino,Casado
141,40,36-45,Graduação,Feminino,Casado
142,53,46-55,Pós-Graduação,Feminino,Casado
143,18,18-25,Graduação,Masculino,Casado
144,40,36-45,Pós-Graduação,Feminino,Solteiro
145,41,36-45,Graduação,Feminino,Casado
146,47,46-55,Graduação,Masculino,Solteiro
147,23,18-25,Graduação,Feminino,Casado
148,22,18-25,Pós-Graduação,Feminino,Casado
149,44,36-45,Pós-Graduação,Masculino,Casado
150,41,36-45,Graduação,Masculino,Solteiro
151,41,36-45,Outros,Masculino,Outros
152,42,36-45,Graduação,Masculino,Solteiro
153,29,26-35,Graduação,Feminino,Outros
154,40,36-45,Ensino Médio,Masculino,Casado
155,41,36-45,Graduação,Feminino,Casado
156,29,26-35,Graduação,Masculino,Casado
157,60,56+,Graduação,Masculino,Casado
158,43,36-45,Graduação,Feminino,Casado
159,23,18-25,Outros,Feminino,Casado
160,45,36-45,Pós-Graduação,Feminino,Casado
161,26,26-35,Graduação,Masculino,Casado
162,47,46-55,Pós-Graduação,Masculino,Casado
163,51,46-55,Graduação,Masculino,Casado
164,28,26-35,Ensino Médio,Feminino,Outros
165,49,46-55,Graduação,Masculino,Casado
166,42,36-45,Pós-Graduação,Feminino,Solteiro
167,47,46-55,Graduação,Feminino,Solteiro
168,60,56+,Pós-Graduação,Masculino,Casado
