id_produto,limite_credito,faixa_limite,tipo_cartao
1,37578,30k-60k,Gold
2,22773,10k-30k,Standard
3,51416,30k-60k,Standard
4,16145,10k-30k,Standard
5,165284,> 100k,Gold
6,91321,60k-100k,Gold
7,72330,60k-100k,Standard
8,13721,10k-30k,Standard
9,41931,30k-60k,Standard
10,84656,60k-100k,Standard
11,55004,30k-60k,Platinum
12,18007,10k-30k,Gold
13,23038,10k-30k,Standard
14,26466,10k-30k,Gold
15,23803,10k-30k,Standard
16,105888,> 100k,Platinum
17,9464,< 10k,Gold
18,57477,30k-60k,Standard
19,14696,10k-30k,Gold
20,18529,10k-30k,Standard
21,8894,< 10k,Standard
22,24727,10k-30k,Gold
23,104559,> 100k,Standard
24,43711,30k-60k,Standard
25,15695,10k-30k,Gold
26,74013,60k-100k,Gold
27,85983,60k-100k,Standard
28,39059,30k-60k,Standard
29,150892,> 100k,Standard
30,64543,60k-100k,Standard
31,58562,30k-60k,Gold
32,20694,10k-30k,Standard
33,56341,30k-60k,Standard
34,42266,30k-60k,Standard
35,52254,30k-60k,Standard
36,22489,10k-30k,Gold
37,39722,30k-60k,Standard
38,20500,10k-30k,Standard
39,8078,< 10k,Gold
40,73043,60k-100k,Standard
41,12686,10k-30k,Standard
42,39145,30k-60k,Standard
43,45848,30k-60k,Standard
44,45642,30k-60k,Standard
45,29787,10k-30k,Standard
46,43907,30k-60k,Standard
47,50497,30k-60k,Gold
48,60747,60k-100k,Standard
49,122199,> 100k,Gold
50,42784,30k-60k,Gold
51,37980,30k-60k,Standard
52,19250,10k-30k,Standard
53,49274,30k-60k,Standard
54,57940,30k-60k,Standard
55,31741,30k-60k,Platinum
56,53168,30k-60k,Standard
57,29591,10k-30k,Gold
58,58086,30k-60k,Gold
59,68790,60k-100k,Standard
60,68120,60k-100k,Standard
61,39438,30k-60k,Standard
62,17536,10k-30k,Gold
63,23662,10k-30k,Gold
64,55083,30k-60k,Standard
65,201625,> 100k,Standard
66,28609,10k-30k,Standard
67,49965,30k-60k,Gold
68,24606,10k-30k,Platinum
69,18365,10k-30k,Standard
70,22619,10k-30k,Standard
71,8452,< 10k,Standard
72,93657,60k-100k,Standard
73,7622,< 10k,Gold
74,30191,30k-60k,Standard
75,15919,10k-30k,Gold
76,19553,10k-30k,Standard
77,95183,60k-100k,Standard
78,41803,30k-60k,Standard
79,18475,10k-30k,Gold
80,24036,10k-30k,Gold
81,21251,10k-30k,Standard
82,35225,30k-60k,Standard
83,40987,30k-60k,Standard
84,136885,> 100k,Standard
85,9495,< 10k,Gold
86,35441,30k-60k,Standard
87,29117,10k-30k,Standard
88,70444,60k-100k,Gold
89,46554,30k-60k,Standard
90,54899,30k-60k,Standard
91,46238,30k-60k,Standard
92,18913,10k-30k,Gold
93,84786,60k-100k,Standard
94,63510,60k-100k,Standard
95,68931,60k-100k,Gold
96,87977,60k-100k,Standard
97,48648,30k-60k,Gold
98,102405,> 100k,Platinum
99,47303,30k-60k,Gold
100,31152,30k-60k,Gold
101,36148,30k-60k,Standard
102,35714,30k-60k,Standard
103,25246,10k-30k,Gold
104,113814,> 100k,Standard
105,44685,30k-60k,Standard
106,38805,30k-60k,Gold
107,47657,30k-60k,Standard
108,292405,> 100k,Standard
109,16445,10k-30k,Gold
110,20099,10k-30k,Gold
111,13816,10k-30k,Gold
112,30858,30k-60k,Gold
113,43125,30k-60k,Gold
114,26219,10k-30k,Gold
115,24889,10k-30k,Standard
116,40122,30k-60k,Gold
117,25553,10k-30k,Standard
118,45121,30k-60k,Standard
119,79218,60k-100k,Standard
120,58332,30k-60k,Standard
121,67286,60k-100k,Standard
122,77663,60k-100k,Standard
123,44266,30k-60k,Standard
124,32498,30k-60k,Standard
125,21150,10k-30k,Standard
126,27616,10k-30k,Gold
127,25170,10k-30k,Gold
128,60607,60k-100k,Gold
129,46293,30k-60k,Standard
130,59144,30k-60k,Gold
131,16119,10k-30k,Standard
132,98935,60k-100k,Standard
133,26933,10k-30k,Gold
134,16814,10k-30k,Gold
135,26703,10k-30k,Gold
136,206619,> 100k,Gold
137,27683,10k-30k,Standard
138,28924,10k-30k,Gold
139,31746,30k-60k,Gold
140,32727,30k-60k,Gold
141,21014,10k-30k,Gold
142,40144,30k-60k,Standard
143,77104,60k-100k,Standard
144,45252,30k-60k,Standard
145,16683,10k-30k,Standard
146,28537,10k-30k,Standard
147,24684,10k-30k,Standard
148,37686,30k-60k,Platinum
149,92163,60k-100k,Gold
150,32721,30k-60k,Gold
151,34142,30k-60k,Standard
152,126039,> 100k,Standard
153,67060,60k-100k,Gold
154,54277,30k-60k,Standard
155,143013,> 100k,Gold
156,51167,30k-60k,Platinum
157,9040,< 10k,Standard
158,65047,60k-100k,Gold
159,11915,10k-30k,Standard
160,49831,30k-60k,Gold
161,10942,10k-30k,Standard
162,26191,10k-30k,Standard
163,28151,10k-30k,Gold
164,21182,10k-30k,Gold
165,28447,10k-30k,Gold
166,74816,60k-100k,Standard
167,22031,10k-30k,Gold
168,53188,30k-60k,Gold
169,18472,10k-30k,Platinum
170,31804,30k-60k,Gold
171,45555,30k-60k,Gold
172,18077,10k-30k,Gold
173,14498,10k-30k,Standard
174,51241,30k-60k,Standard
175,79710,60k-100k,Standard
176,34360,30k-60k,Gold
177,26367,10k-30k,Gold
178,40496,30k-60k,Gold
179,37753,30k-60k,Standard
180,43046,30k-60k,Standard
181,6187,< 10k,Standard
182,17182,10k-30k,Standard
183,20097,10k-30k,Standard
184,40360,30k-60k,Platinum
185,41361,30k-60k,Standard
186,56688,30k-60k,Standard
187,43490,30k-60k,Standard
188,14610,10k-30k,Platinum
189,99997,60k-100k,Gold
190,88463,60k-100k,Standard
191,15051,10k-30k,Platinum
192,45839,30k-60k,Standard
193,23937,10k-30k,Standard
194,40022,30k-60k,Standard
195,75911,60k-100k,Standard
196,161308,> 100k,Gold
197,61444,60k-100k,Platinum
198,44643,30k-60k,Gold
199,28627,10k-30k,Standard
200,41253,30k-60k,Standard
201,94074,60k-100k,Standard
202,35196,30k-60k,Standard
203,19530,10k-30k,Standard
204,11686,10k-30k,Standard
205,52006,30k-60k,Gold
206,43178,30k-60k,Gold
207,23106,10k-30k,Standard
208,74474,60k-100k,Standard
209,27031,10k-30k,Standard
210,33049,30k-60k,Standard
211,35894,30k-60k,Standard
212,28405,10k-30k,Standard
213,42834,30k-60k,Gold
214,81312,60k-100k,Gold
215,16321,10k-30k,Standard
216,51121,30k-60k,Gold
217,40966,30k-60k,Standard
218,40442,30k-60k,Gold
219,66855,60k-100k,Standard
220,37590,30k-60k,Standard
221,50825,30k-60k,Standard
222,59940,30k-60k,Standard
223,25513,10k-30k,Standard
224,44776,30k-60k,Platinum
225,30468,30k-60k,Gold
226,33094,30k-60k,Standard
227,28985,10k-30k,Standard
228,50501,30k-60k,Gold
229,38451,30k-60k,Gold
230,47866,30k-60k,Gold
231,35872,30k-60k,Standard
232,11814,10k-30k,Gold
233,37121,30k-60k,Gold
234,37967,30k-60k,Standard
235,43037,30k-60k,Standard
236,23965,10k-30k,Gold
237,15727,10k-30k,Gold
238,56231,30k-60k,Standard
239,29985,10k-30k,Platinum
240,40940,30k-60k,Standard
241,29821,10k-30k,Standard
242,36161,30k-60k,Standard
243,26515,10k-30k,Platinum
244,18441,10k-30k,Standard
245,50595,30k-60k,Standard
246,23808,10k-30k,Standard
247,40731,30k-60k,Standard
248,48403,30k-60k,Gold
249,24082,10k-30k,Standard
250,15635,10k-30k,Gold
251,198443,> 100k,Platinum
252,25098,10k-30k,Standard
253,56184,30k-60k,Gold
254,141156,> 100k,Standard
255,63128,60k-100k,Standard
256,29427,10k-30k,Gold
257,34648,30k-60k,Gold
258,20275,10k-30k,Standard
259,67318,60k-100k,Standard
260,53981,30k-60k,Platinum
261,25333,10k-30k,Gold
262,17509,10k-30k,Standard
263,14402,10k-30k,Standard
264,72443,60k-100k,Standard
265,39508,30k-60k,Standard
266,42213,30k-60k,Standard
267,20413,10k-30k,Standard
268,13037,10k-30k,Standard
269,71241,60k-100k,Gold
270,37400,30k-60k,Standard
271,68532,60k-100k,Standard
272,27718,10k-30k,Standard
273,30767,30k-60k,Standard
274,59832,30k-60k,Standard
275,60635,60k-100k,Gold
276,63468,60k-100k,Standard
277,29535,10k-30k,Standard
278,55836,30k-60k,Standard
279,78934,60k-100k,Standard
280,33747,30k-60k,Standard
281,25350,10k-30k,Standard
282,92959,60k-100k,Standard
283,22968,10k-30k,Gold
284,56423,30k-60k,Platinum
285,34860,30k-60k,Standard
286,10005,10k-30k,Gold
287,80018,60k-100k,Gold
288,5268,< 10k,Platinum
289,9055,< 10k,Standard
290,52529,30k-60k,Gold
291,52520,30k-60k,Platinum
292,23241,10k-30k,Standard
293,40274,30k-60k,Standard
294,6173,< 10k,Platinum
295,59568,30k-60k,Gold
296,43252,30k-60k,Standard
297,35173,30k-60k,Gold
298,36849,30k-60k,Standard
299,51291,30k-60k,Standard
300,35588,30k-60k,Standard
301,9780,< 10k,Standard
302,168962,> 100k,Gold
303,84167,60k-100k,Standard
304,14772,10k-30k,Gold
305,28521,10k-30k,Standard
306,30784,30k-60k,Standard
307,77280,60k-100k,Standard
308,8010,< 10k,Standard
309,25608,10k-30k,Gold
310,10588,10k-30k,Standard
311,29745,10k-30k,Gold
312,26088,10k-30k,Standard
313,38398,30k-60k,Standard
314,23779,10k-30k,Standard
315,21467,10k-30k,Gold
316,56036,30k-60k,Standard
317,49924,30k-60k,Gold
318,53422,30k-60k,Gold
319,32085,30k-60k,Standard
320,24337,10k-30k,Standard
321,33416,30k-60k,Standard
322,51576,30k-60k,Platinum
323,7912,< 10k,Standard
324,47852,30k-60k,Standard
325,45089,30k-60k,Standard
326,37930,30k-60k,Gold
327,32711,30k-60k,Gold
328,6025,< 10k,Platinum
329,26691,10k-30k,Gold
330,127084,> 100k,Standard
331,36644,30k-60k,Standard
332,29286,10k-30k,Gold
333,36747,30k-60k,Platinum
334,46552,30k-60k,Standard
335,57594,30k-60k,Standard
336,30939,30k-60k,Gold
337,48895,30k-60k,Standard
338,117436,> 100k,Standard
339,73451,60k-100k,Platinum
340,186877,> 100k,Gold
341,22931,10k-30k,Standard
342,117398,> 100k,Standard
343,20879,10k-30k,Standard
344,46513,30k-60k,Platinum
345,60641,60k-100k,Platinum
346,25398,10k-30k,Gold
347,38621,30k-60k,Standard
348,68687,60k-100k,Standard
349,22088,10k-30k,Gold
350,116840,> 100k,Standard
351,13777,10k-30k,Gold
352,141179,> 100k,Gold
353,73198,60k-100k,Standard
354,34104,30k-60k,Platinum
355,27395,10k-30k,Standard
356,25465,10k-30k,Gold
357,33022,30k-60k,Standard
358,35103,30k-60k,Gold
359,87435,60k-100k,Gold
360,144070,> 100k,Standard
361,41754,30k-60k,Standard
362,20091,10k-30k,Standard
363,24784,10k-30k,Standard
364,31947,30k-60k,Gold
365,17657,10k-30k,Standard
366,15910,10k-30k,Standard
367,157627,> 100k,Standard
368,44883,30k-60k,Standard
369,20268,10k-30k,Gold
370,64319,60k-100k,Standard
371,15917,10k-30k,Gold
372,16861,10k-30k,Gold
373,20699,10k-30k,Standard
374,115630,> 100k,Gold
375,30423,30k-60k,Standard
376,6573,< 10k,Standard
377,84714,60k-100k,Standard
378,29305,10k-30k,Standard
379,9950,< 10k,Gold
380,29094,10k-30k,Standard
381,52297,30k-60k,Standard
382,48186,30k-60k,Standard
383,127885,> 100k,Standard
384,19991,10k-30k,Gold
385,37522,30k-60k,Standard
386,22254,10k-30k,Gold
387,12338,10k-30k,Platinum
388,67499,60k-100k,Standard
389,50226,30k-60k,Gold
390,44292,30k-60k,Standard
391,48959,30k-60k,Standard
392,22475,10k-30k,Standard
393,17961,10k-30k,Standard
394,37285,30k-60k,Platinum
395,81866,60k-100k,Standard
396,111932,> 100k,Gold
397,63373,60k-100k,Standard
398,37064,30k-60k,Gold
399,43863,30k-60k,Standard
400,36611,30k-60k,Gold
401,17709,10k-30k,Standard
