id_tempo,mes_ano,mes,ano,trimestre,semestre
1,2023-01,1,2023,1,1
2,2023-02,2,2023,1,1
3,2023-03,3,2023,1,1
4,2023-04,4,2023,2,1
5,2023-05,5,2023,2,1
6,2023-06,6,2023,2,1
7,2023-07,7,2023,3,2
8,2023-08,8,2023,3,2
9,2023-09,9,2023,3,2
10,2023-10,10,2023,4,2
11,2023-11,11,2023,4,2
12,2023-12,12,2023,4,2
13,2024-01,1,2024,1,1
14,2024-02,2,2024,1,1
15,2024-03,3,2024,1,1
16,2024-04,4,2024,2,1
17,2024-05,5,2024,2,1
18,2024-06,6,2024,2,1
19,2024-07,7,2024,3,2
20,2024-08,8,2024,3,2
21,2024-09,9,2024,3,2
22,2024-10,10,2024,4,2
23,2024-11,11,2024,4,2
24,2024-12,12,2024,4,2
