id_fato,id_cliente,id_produto,id_tempo,valor_fatura,valor_pago,inadimplente,score_risco,prob_default_real
1,1,1,19,14663,2726,1,651,0.1694
2,2,2,18,6063,3261,0,850,0.1926
3,3,3,7,15752,4760,0,850,0.1913
4,4,4,16,10879,11222,0,850,0.1336
5,5,5,24,73854,76895,0,850,0.1742
6,6,6,14,48965,54863,0,850,0.2153
7,7,7,8,57730,67667,0,810,0.2052
8,8,8,13,9016,3996,0,797,0.2409
9,9,9,3,20674,12786,0,783,0.2017
10,10,10,2,77117,82223,0,846,0.1893
11,11,11,13,15529,1558,1,637,0.1997
12,12,12,22,6224,1948,0,794,0.2053
13,13,13,3,20152,13074,0,823,0.2105
14,14,14,21,21841,8781,0,826,0.296
15,15,15,1,5011,5059,0,850,0.2464
16,16,16,2,94289,91688,0,829,0.2251
17,17,17,10,1028,1006,0,850,0.2276
18,18,18,11,45927,29908,0,850,0.1724
19,19,19,3,4952,650,1,636,0.2508
20,20,20,24,4824,2584,0,827,0.2382
21,21,21,8,4281,2674,0,843,0.1377
22,22,22,15,21327,25267,0,850,0.2253
23,23,23,5,80303,27456,0,850,0.1743
24,24,24,8,40302,23842,0,822,0.3174
25,25,25,18,8787,8883,0,821,0.2086
26,26,26,18,39521,733,1,663,0.1759
27,27,27,12,9550,11030,0,820,0.2491
28,28,28,4,9902,5930,0,850,0.1721
29,29,29,8,78913,84025,0,850,0.1914
30,30,30,2,47741,49344,0,840,0.1923
31,31,31,20,46804,6764,1,687,0.2352
32,32,32,24,7052,4673,0,839,0.1209
33,33,33,3,39753,1230,1,639,0.1845
34,34,34,8,33992,24870,0,796,0.2727
35,35,35,12,21872,15671,0,839,0.2352
36,36,36,2,15545,17332,0,850,0.2616
37,37,37,17,18736,159,1,643,0.178
38,38,38,14,19225,8919,0,831,0.2469
39,39,39,14,853,338,0,850,0.2368
40,40,40,6,33029,31865,0,850,0.173
41,41,41,8,4112,4630,0,785,0.2141
42,42,42,10,32188,20331,0,812,0.2581
43,43,43,24,15774,2582,1,681,0.2191
44,44,44,18,25663,4485,1,616,0.2452
45,45,45,1,21721,308,1,661,0.2395
46,46,46,7,22948,19118,0,850,0.2404
47,47,47,7,22665,12557,0,850,0.2304
48,48,48,13,8270,9160,0,850,0.1749
49,49,49,16,14601,6512,0,850,0.1597
50,50,50,12,39093,44454,0,826,0.2436
51,51,51,19,24564,14725,0,850,0.1753
52,52,52,6,15428,16671,0,770,0.2821
53,53,53,7,25049,28908,0,850,0.2096
54,54,54,17,18676,22181,0,850,0.1603
55,55,55,19,11120,11378,0,850,0.1492
56,56,56,5,7282,2851,0,850,0.149
57,57,57,3,22851,7994,0,795,0.2986
58,58,58,24,34523,33340,0,844,0.2433
59,59,59,22,34992,38747,0,850,0.1707
60,60,60,18,56162,25242,0,825,0.1768
61,61,61,17,18856,21627,0,832,0.2321
62,62,62,21,15883,13487,0,850,0.1964
63,63,63,11,2632,1083,0,815,0.2285
64,64,64,9,51609,23241,0,740,0.2767
65,65,65,17,159990,57493,0,822,0.2128
66,66,66,19,11492,4928,0,849,0.2177
67,67,67,13,30281,29036,0,850,0.1855
68,68,68,6,20544,10208,0,850,0.2303
69,69,69,21,9354,7534,0,835,0.1752
70,70,70,4,3243,494,1,600,0.2606
71,71,71,18,7338,8113,0,850,0.1767
72,72,72,12,50525,41982,0,850,0.122
73,73,73,4,4294,3489,0,850,0.2219
74,74,74,5,3371,3780,0,850,0.1315
75,75,75,12,2946,80,1,649,0.2476
76,76,76,18,14876,7190,0,815,0.1901
77,77,77,17,44708,4407,1,663,0.2527
78,78,78,23,39644,14552,0,826,0.2257
79,79,79,23,12772,6011,0,850,0.2142
80,80,80,24,21805,750,1,597,0.2464
81,81,81,10,7171,4482,0,850,0.1958
82,82,82,6,8796,8228,0,850,0.2027
83,83,83,17,17218,6588,0,806,0.2129
84,84,84,8,44495,32456,0,849,0.1905
85,85,85,2,5900,6063,0,825,0.2486
86,86,86,12,25970,23762,0,813,0.2057
87,87,87,3,12863,966,1,664,0.1556
88,88,88,24,12424,6403,0,839,0.2004
89,89,89,20,5697,3727,0,850,0.234
90,90,90,21,15664,7246,0,850,0.1938
91,91,91,23,33412,25327,0,850,0.1801
92,92,92,7,5452,4501,0,784,0.2342
93,93,93,1,74130,64349,0,850,0.2043
94,94,94,17,41529,45198,0,850,0.2225
95,95,95,8,57404,20415,0,849,0.2447
96,96,96,10,37649,24452,0,843,0.2608
97,97,97,17,45535,37879,0,822,0.2537
98,98,98,16,69387,56419,0,850,0.1656
99,99,99,10,19083,6097,0,805,0.2329
100,100,100,15,8743,4112,0,816,0.2243
101,101,101,16,30239,32088,0,839,0.2656
102,102,102,18,13228,10104,0,850,0.2326
103,103,103,4,3476,2336,0,850,0.2312
104,104,104,7,38339,42562,0,829,0.2029
105,105,105,12,11284,2205,1,662,0.1893
106,106,106,23,14426,350,1,689,0.1722
107,107,107,12,29608,3744,1,598,0.1669
108,108,108,23,153620,123879,0,850,0.1701
109,109,109,21,11581,9259,0,839,0.1785
110,110,110,1,7713,6750,0,850,0.19
111,111,111,21,2788,910,0,850,0.2779
112,112,112,24,7289,5666,0,826,0.2184
113,113,113,12,33538,13490,0,849,0.1835
114,114,114,23,4805,2116,0,850,0.0991
115,115,115,7,19373,9566,0,782,0.2753
116,116,116,15,11263,9594,0,850,0.175
117,117,117,2,17290,11257,0,850,0.1892
118,118,118,1,28410,10704,0,850,0.2582
119,119,119,4,14538,1696,1,692,0.1391
120,120,120,8,38848,14333,0,850,0.1543
121,121,121,17,32323,29016,0,850,0.1829
122,122,122,18,54449,43652,0,838,0.2414
123,123,123,23,35862,23916,0,850,0.1354
124,124,124,5,4340,4925,0,850,0.2661
125,125,125,6,13764,684,1,693,0.1658
126,126,126,12,5225,5741,0,850,0.1879
127,127,127,24,10622,8722,0,817,0.2222
128,128,128,16,6713,4290,0,789,0.2319
129,129,129,9,17561,13787,0,850,0.2301
130,130,130,15,14428,6300,0,838,0.2021
131,131,131,8,9233,1007,1,685,0.2746
132,132,132,12,52973,6178,1,645,0.1752
133,133,133,14,20853,10899,0,807,0.255
134,134,134,17,10827,6397,0,806,0.2225
135,135,135,14,18890,788,1,637,0.272
136,136,136,20,36903,6350,1,651,0.185
137,137,137,5,3421,3240,0,850,0.2158
138,138,138,13,26729,11306,0,829,0.1977
139,139,139,6,14697,8409,0,836,0.2382
140,140,140,14,14260,11191,0,829,0.2301
141,141,141,6,2726,2264,0,850,0.1808
142,142,142,3,8072,6320,0,850,0.139
143,143,143,16,69347,47983,0,846,0.2384
144,144,144,12,31251,29386,0,850,0.2072
145,145,145,14,7471,3616,0,850,0.1785
146,146,146,2,24793,13746,0,850,0.1887
147,147,147,18,14845,10392,0,800,0.2313
148,148,148,7,27680,25630,0,835,0.2323
149,149,149,5,43027,7693,1,615,0.1582
150,150,150,12,15274,6172,0,850,0.2061
151,151,151,17,5397,5419,0,850,0.1759
152,152,152,12,91237,48798,0,850,0.1891
153,153,153,21,12355,332,1,681,0.2069
154,154,154,11,40687,47411,0,850,0.2259
155,155,155,1,37502,424,1,699,0.1595
156,156,156,9,15875,97,1,618,0.2093
